,Unnamed: 0,Country,Rank,HappinessScore,Family,GDP,HealthLifeExpectancy,Freedom,Trust_GovCorruption,Generosity,Year,Trust_GovCorruptionlog,Generositylog,continent_Africa,continent_Asia,continent_Australia,continent_Europe,continent_North_America,continent_South_America
32,32,Colombia,33,6.477,1.2401799999999998,0.91861,0.69077,0.53466,0.0512,0.18401,2015,-2.972015746936675,-1.692765175023854,0,0,0,0,0,1
33,33,Thailand,34,6.455,1.26504,0.9669,0.7385,0.5566399999999999,0.03187,0.5763,2015,-3.446090150552892,-0.5511269205395163,0,1,0,0,0,0
34,34,Saudi Arabia,35,6.4110000000000005,1.0839299999999998,1.39541,0.72025,0.31048000000000003,0.32524000000000003,0.13706,2015,-1.1231919076425,-1.9873364928244595,0,1,0,0,0,0
35,35,Spain,36,6.329,1.31379,1.23011,0.95562,0.45951,0.06398,0.18227,2015,-2.749184744460765,-1.702266174745295,0,0,0,1,0,0
36,36,Malta,37,6.3020000000000005,1.30203,1.2074,0.88721,0.60365,0.13585999999999998,0.51752,2015,-1.9961303352189814,-0.6587071072464071,0,0,0,1,0,0
37,37,Taiwan,38,6.297999999999999,1.07617,1.29098,0.8753,0.3974,0.08129,0.25376,2015,-2.509732271223656,-1.371366340535654,1,0,0,0,0,0
38,38,Kuwait,39,6.295,1.16594,1.5542200000000002,0.72492,0.55499,0.25609,0.16228,2015,-1.3622263337861902,-1.8184320406438905,0,1,0,0,0,0
39,39,Suriname,40,6.269,0.972,0.99534,0.6082,0.5965699999999999,0.13633,0.16990999999999998,2015,-1.9926768617840986,-1.77248639388447,1,0,0,0,0,0
40,40,Trinidad and Tobago,41,6.167999999999998,1.18354,1.21183,0.61483,0.55884,0.0114,0.31844,2015,-4.474141923581687,-1.1443212047617597,0,0,0,0,1,0
41,41,El Salvador,42,6.13,1.02507,0.76454,0.67737,0.4035,0.11776,0.10692,2015,-2.139106624001571,-2.235674387711419,0,0,0,0,1,0
42,42,Guatemala,43,6.122999999999998,1.04356,0.74553,0.64425,0.57733,0.09472,0.27489,2015,-2.3568301078464415,-1.2913842613369053,0,0,0,0,1,0
43,43,Uzbekistan,44,6.002999999999999,1.34043,0.63244,0.59772,0.6582100000000001,0.30826,0.22837,2015,-1.1768116962635633,-1.4767881583386366,0,1,0,0,0,0
44,44,Slovakia,45,5.995,1.26999,1.16891,0.7890199999999999,0.31751,0.03431,0.16893,2015,-3.372318422111779,-1.7782708510475003,0,0,0,1,0,0
45,45,Japan,46,5.987,1.25712,1.27074,0.99111,0.49615,0.1806,0.10705,2015,-1.711470637999252,-2.2344592639464453,0,1,0,0,0,0
46,46,South Korea,47,5.984,0.95774,1.24461,0.96538,0.33208000000000004,0.07857,0.18557,2015,-2.5437653317944067,-1.6843231096258895,0,1,0,0,0,0
47,47,Ecuador,48,5.975,0.99903,0.8640200000000001,0.79075,0.48574,0.1809,0.11540999999999997,2015,-1.7098108865808876,-2.159264273549824,0,0,0,0,0,1
48,48,Bahrain,49,5.96,1.21624,1.32376,0.74716,0.45492,0.306,0.17362,2015,-1.1841701770297564,-1.7508862760184751,0,1,0,0,0,0
49,49,Italy,50,5.948,1.19777,1.25114,0.95446,0.26236,0.02901,0.22823,2015,-3.5401146808488244,-1.4774013865663511,0,0,0,1,0,0
50,50,Bolivia,51,5.89,0.97841,0.68133,0.5392,0.57414,0.08800000000000001,0.20536,2015,-2.4304184645039304,-1.5829907424192522,0,0,0,0,0,1
51,51,Moldova,52,5.8889999999999985,1.01528,0.59448,0.61826,0.32818,0.01615,0.20951,2015,-4.125835229313472,-1.5629838080622163,0,0,0,1,0,0
52,52,Paraguay,53,5.877999999999999,1.30477,0.75985,0.66098,0.53899,0.08242000000000001,0.3424,2015,-2.4959271530714657,-1.0717756347145502,0,0,0,0,0,1
53,53,Kazakhstan,54,5.855,1.12241,1.12254,0.64368,0.51649,0.08454,0.11827,2015,-2.470530483843493,-2.1347851327191116,0,1,0,0,0,0
54,54,Slovenia,55,5.848,1.27385,1.18498,0.8733700000000001,0.60855,0.03787,0.25328,2015,-3.2735960370684336,-1.373259682849435,0,0,0,1,0,0
55,55,Lithuania,56,5.832999999999998,1.25745,1.14723,0.73128,0.21342,0.01031,0.026410000000000003,2015,-4.574640980953268,-3.634012552673096,0,0,0,1,0,0
56,56,Nicaragua,57,5.8279999999999985,1.14184,0.59325,0.7431399999999999,0.55475,0.19317,0.27815,2015,-1.644184648763935,-1.2795947424608347,0,0,0,0,1,0
